,subject,trial,choice,rt,item_value_0,item_value_1,gaze_0,gaze_1
82,3.0,82.0,1.0,2095.0,80.0,88.0,0.49497620299999995,0.505023797
84,3.0,84.0,1.0,3787.0,103.0,110.0,0.40111888100000004,0.598881119
86,3.0,86.0,1.0,4082.0,80.0,72.0,0.20292887,0.79707113
88,3.0,88.0,1.0,1874.0,80.0,90.0,0.415154749,0.5848452510000001
90,3.0,90.0,0.0,5986.0,80.0,70.0,0.7203359540000001,0.279664046
92,3.0,92.0,1.0,1695.0,82.0,80.0,0.397640118,0.602359882
94,3.0,94.0,0.0,3157.0,96.0,110.0,0.534836066,0.465163934
96,3.0,96.0,1.0,4811.0,60.0,50.0,0.40158630799999995,0.598413692
98,3.0,98.0,0.0,1294.0,110.0,96.0,0.588871716,0.411128284
100,3.0,100.0,1.0,2191.0,49.0,50.0,0.42996408399999997,0.570035916
102,3.0,102.0,0.0,2013.0,51.0,50.0,0.652892562,0.347107438
104,3.0,104.0,0.0,2332.0,40.0,50.0,0.48756432200000005,0.512435678
106,3.0,106.0,0.0,7005.0,85.0,80.0,0.743673228,0.256326772
108,3.0,108.0,1.0,2096.0,50.0,43.0,0.295801527,0.7041984729999999
110,3.0,110.0,0.0,3300.0,50.0,60.0,0.555962184,0.44403781600000003
112,3.0,112.0,0.0,1260.0,122.0,110.0,0.63015873,0.36984127
114,3.0,114.0,0.0,3912.0,80.0,67.0,0.326122228,0.673877772
116,3.0,116.0,1.0,3005.0,110.0,122.0,0.423462089,0.5765379110000001
118,3.0,118.0,0.0,2666.0,110.0,112.0,0.49918566799999997,0.500814332
0,4.0,0.0,0.0,1944.0,110.0,131.0,0.506008011,0.49399198899999996
2,4.0,2.0,0.0,1669.0,50.0,44.0,0.6512881970000001,0.348711803
4,4.0,4.0,1.0,1379.0,42.0,50.0,0.269760696,0.730239304
6,4.0,6.0,0.0,1539.0,78.0,80.0,0.671215075,0.328784925
8,4.0,8.0,1.0,1375.0,50.0,48.0,0.372937294,0.627062706
10,4.0,10.0,1.0,1369.0,46.0,50.0,0.35938641299999996,0.640613587
12,4.0,12.0,0.0,1833.0,50.0,56.0,0.622619048,0.37738095200000005
14,4.0,14.0,0.0,1773.0,110.0,124.0,0.6286072770000001,0.371392723
16,4.0,16.0,0.0,3207.0,64.0,80.0,0.607705779,0.392294221
18,4.0,18.0,0.0,2550.0,101.0,110.0,0.610666667,0.38933333299999995
20,4.0,20.0,0.0,1531.0,50.0,42.0,0.660352711,0.33964728899999996
22,4.0,22.0,1.0,5355.0,77.0,80.0,0.487090559,0.512909441
24,4.0,24.0,0.0,1688.0,44.0,50.0,0.6736196320000001,0.32638036800000003
26,4.0,26.0,1.0,1619.0,50.0,46.0,0.315009265,0.684990735
28,4.0,28.0,1.0,1834.0,133.0,110.0,0.298489426,0.701510574
30,4.0,30.0,1.0,1288.0,126.0,110.0,0.434782609,0.565217391
32,4.0,32.0,1.0,1465.0,110.0,126.0,0.37190742200000004,0.628092578
34,4.0,34.0,1.0,2292.0,80.0,77.0,0.41710296700000005,0.582897033
36,4.0,36.0,0.0,1407.0,80.0,64.0,0.6478873239999999,0.352112676
38,4.0,38.0,1.0,1610.0,124.0,110.0,0.330601093,0.669398907
40,4.0,40.0,0.0,2420.0,128.0,110.0,0.5525345620000001,0.447465438
42,4.0,42.0,0.0,1342.0,54.0,50.0,0.587183308,0.41281669200000004
44,4.0,44.0,0.0,1262.0,105.0,110.0,0.59429477,0.40570523
46,4.0,46.0,0.0,2956.0,96.0,80.0,0.732746955,0.267253045
48,4.0,48.0,1.0,1020.0,110.0,128.0,0.352941176,0.647058824
50,4.0,50.0,0.0,2155.0,110.0,119.0,0.672389791,0.327610209
52,4.0,52.0,0.0,1830.0,58.0,50.0,0.578142077,0.42185792299999997
54,4.0,54.0,1.0,1095.0,74.0,80.0,0.30410958899999996,0.6958904109999999
56,4.0,56.0,0.0,1046.0,66.0,80.0,0.611854685,0.388145315
58,4.0,58.0,0.0,1306.0,94.0,110.0,0.689892802,0.31010719800000003
60,4.0,60.0,0.0,1847.0,75.0,80.0,0.621884498,0.37811550200000005
62,4.0,62.0,0.0,2454.0,89.0,110.0,0.589649552,0.410350448
64,4.0,64.0,0.0,1076.0,110.0,98.0,0.652416357,0.347583643
66,4.0,66.0,0.0,926.0,110.0,94.0,0.821814255,0.178185745
68,4.0,68.0,1.0,1282.0,50.0,54.0,0.35257410299999997,0.6474258970000001
70,4.0,70.0,0.0,2086.0,50.0,52.0,0.65163297,0.34836703
72,4.0,72.0,0.0,1516.0,87.0,110.0,0.616094987,0.38390501299999996
74,4.0,74.0,0.0,1580.0,80.0,96.0,0.724683544,0.275316456
76,4.0,76.0,1.0,1850.0,50.0,55.0,0.45297297299999995,0.547027027
78,4.0,78.0,1.0,1486.0,45.0,50.0,0.316639742,0.683360258
80,4.0,80.0,0.0,2015.0,50.0,53.0,0.686539644,0.313460356
82,4.0,82.0,1.0,1346.0,80.0,88.0,0.23997028199999998,0.760029718
84,4.0,84.0,1.0,1382.0,103.0,110.0,0.29070691,0.70929309
86,4.0,86.0,0.0,2413.0,80.0,72.0,0.726815898,0.273184102
88,4.0,88.0,1.0,1114.0,80.0,90.0,0.329443447,0.6705565529999999
90,4.0,90.0,0.0,1696.0,80.0,70.0,0.579086698,0.42091330200000004
92,4.0,92.0,0.0,1504.0,82.0,80.0,0.6275243079999999,0.372475692
94,4.0,94.0,0.0,1381.0,96.0,110.0,0.643736423,0.35626357700000005
96,4.0,96.0,1.0,1067.0,60.0,50.0,0.301075269,0.698924731
98,4.0,98.0,1.0,903.0,110.0,96.0,0.42164599799999997,0.578354002
100,4.0,100.0,0.0,1737.0,49.0,50.0,0.6154289000000001,0.3845711
102,4.0,102.0,1.0,1317.0,51.0,50.0,0.387155963,0.612844037
104,4.0,104.0,1.0,2430.0,40.0,50.0,0.471604938,0.5283950620000001
106,4.0,106.0,1.0,2005.0,85.0,80.0,0.351673284,0.648326716
108,4.0,108.0,1.0,1162.0,50.0,43.0,0.422422422,0.577577578
110,4.0,110.0,1.0,2430.0,50.0,60.0,0.451987494,0.5480125060000001
112,4.0,112.0,0.0,1529.0,122.0,110.0,0.7005730659999999,0.299426934
114,4.0,114.0,0.0,1531.0,80.0,67.0,0.62565445,0.37434555
116,4.0,116.0,0.0,1619.0,110.0,122.0,0.604022627,0.39597737299999997
118,4.0,118.0,0.0,1552.0,110.0,112.0,0.662371134,0.337628866
0,5.0,0.0,0.0,2028.0,110.0,131.0,0.57790927,0.42209073
2,5.0,2.0,1.0,1864.0,50.0,44.0,0.340128755,0.659871245
4,5.0,4.0,1.0,1702.0,42.0,50.0,0.409411765,0.590588235
6,5.0,6.0,0.0,3469.0,78.0,80.0,0.356897091,0.643102909
8,5.0,8.0,1.0,2482.0,50.0,48.0,0.539081386,0.460918614
10,5.0,10.0,0.0,1763.0,46.0,50.0,0.533749291,0.466250709
12,5.0,12.0,0.0,3466.0,50.0,56.0,0.46844660200000005,0.531553398
14,5.0,14.0,0.0,2141.0,110.0,124.0,0.567041965,0.432958035
16,5.0,16.0,1.0,4713.0,64.0,80.0,0.18459579899999998,0.815404201
18,5.0,18.0,0.0,1870.0,101.0,110.0,0.721637427,0.278362573
20,5.0,20.0,1.0,2029.0,50.0,42.0,0.510192196,0.48980780399999996
22,5.0,22.0,1.0,2113.0,77.0,80.0,0.504385965,0.495614035
24,5.0,24.0,0.0,2205.0,44.0,50.0,0.279818594,0.7201814059999999
26,5.0,26.0,1.0,3793.0,50.0,46.0,0.471436815,0.528563185
28,5.0,28.0,0.0,2330.0,133.0,110.0,0.46309012899999996,0.536909871
30,5.0,30.0,0.0,3695.0,126.0,110.0,0.413095238,0.5869047620000001
32,5.0,32.0,0.0,24903.0,110.0,126.0,0.746211062,0.253788938
34,5.0,34.0,1.0,3612.0,80.0,77.0,0.504983389,0.495016611
36,5.0,36.0,1.0,4328.0,80.0,64.0,0.46996303100000003,0.530036969
38,5.0,38.0,0.0,2742.0,124.0,110.0,0.524539877,0.47546012299999996
40,5.0,40.0,1.0,4077.0,128.0,110.0,0.275169607,0.724830393
42,5.0,42.0,0.0,2605.0,54.0,50.0,0.36948529399999996,0.630514706
44,5.0,44.0,0.0,1968.0,105.0,110.0,0.409677419,0.590322581
46,5.0,46.0,0.0,3518.0,96.0,80.0,0.356881851,0.643118149
48,5.0,48.0,0.0,1837.0,110.0,128.0,0.635696822,0.36430317799999995
50,5.0,50.0,0.0,2183.0,110.0,119.0,0.281518987,0.718481013
